iter	Passed	Remaining
0	3	310
1	5	257
2	7	226
3	8	197
4	10	191
5	11	184
6	13	176
7	14	171
8	16	171
9	18	166
10	20	163
11	21	160
12	23	157
13	25	154
14	26	151
15	28	147
16	29	144
17	30	139
18	31	134
19	32	129
20	33	127
21	35	124
22	36	123
23	38	121
24	39	118
25	41	117
26	42	115
27	44	113
28	45	111
29	46	109
30	47	106
31	48	103
32	49	101
33	51	99
34	52	97
35	53	94
36	54	92
37	55	90
38	57	89
39	58	87
40	59	85
41	59	82
42	60	80
43	61	78
44	62	76
45	62	73
46	63	71
47	64	69
48	65	67
49	66	66
50	67	64
51	68	63
52	69	61
53	70	59
54	70	57
55	71	56
56	72	54
57	72	52
58	73	51
59	74	49
60	74	47
61	75	46
62	76	44
63	77	43
64	77	41
65	78	40
66	79	39
67	80	37
68	80	36
69	81	34
70	82	33
71	82	32
72	83	31
73	84	29
74	85	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	100	11
90	106	10
91	108	9
92	112	8
93	114	7
94	117	6
95	122	5
96	124	3
97	125	2
98	128	1
99	129	0
